text,risk
Build a stable portfolio with medium_cap stocks using 250000.,low_risk
Analyze small companies in the banking industry.,unspecified
Allocate 500000 to banking stocks.,unspecified
Build a portfolio focused on consumer goods.,unspecified
"Allocate 50000 into consumer goods stocks for a safe, 6 months investor.",low_risk
Allocate 1000000 into consumer goods stocks for a a year investment.,unspecified
Analyze technology stocks.,unspecified
Find small opportunities in energy with explosive earnings potential.,high_risk
Allocate 100000 to safe industrial stocks.,low_risk
Create a portfolio of 10000 for financial independence.,unspecified
Analyze the performance of banking.,unspecified
I have 100000. Redistribute this into the top 5 industrial stocks best for 5 years growth.,low_risk
Recommend a moderate-growth strategy from the telecom sector using 100000 .,medium_risk
Recommend quality companies for 1 year.,low_risk
Create a balanced wealth creation strategy using 75000.,medium_risk
What are the best small financial services stocks?,unspecified
Find investment opportunities in consumer goods.,unspecified
Build an investment portfolio of renewable energy for 5 years growth,unspecified
Recommend banking companies for 6 months investing.,unspecified
Build a balanced consumer goods plan for capital preservation using 75000.,medium_risk
Recommend aggressive investments in energy.,high_risk
Build a medium-risk portfolio for 10 years.,medium_risk
Find opportunities in real estate.,unspecified
"Allocate 10000 into renewable energy stocks for a risky, 10 years investor.",high_risk
Create a portfolio of 25000 for long term growth.,unspecified
Create an investment strategy.,unspecified
Analyze the performance of industrial.,unspecified
Allocate 250000 into banking stocks for a 10 years investor.Recommend stocks in the banking sector.,unspecified
Find investment opportunities in telecom.,unspecified
What stocks should I buy for a 1 year investment?,unspecified
Find investment opportunities in industrial.,unspecified
Suggest investment ideas for ₹25000.,unspecified
Find high-risk high-reward small_cap businesses in renewable energy.,high_risk
Find investment opportunities in real estate.,unspecified
Build a portfolio with 25000.,unspecified
Build a balanced financial services plan for financial independence using 50000.,medium_risk
Build an investment portfolio of telecom for 5 years growth,unspecified
"Find high-risk, high-reward telecom opportunities for 3 years growth.",high_risk
Recommend diversified investments in financial services.,medium_risk
Analyze the investment potential of ai.,unspecified
Analyze financial services stocks.,unspecified
Recommend industry leaders in ai.,unspecified
Suggest investment ideas for ₹250000.,unspecified
Allocate 1000000 into renewable energy stocks for a 5 years investor.Recommend stocks in the renewable energy sector.,unspecified
What are some promising financial services stocks?,unspecified
What stocks should I buy for a 5 years investment?,unspecified
Find large renewable energy stocks suitable for an average investor.,medium_risk
Suggest small companies for 1 year,unspecified
I can tolerate significant volatility. Make me a portfolio of 100000 from the technology sector.,high_risk
Build an investment portfolio of renewable energy for 10 years growth,unspecified
Build a portfolio with 100000.,unspecified
Recommend companies with steady expansion for 5 years investment.,medium_risk
Suggest risky large stocks for growth.,high_risk
Suggest low-risk exposure to real estate.,low_risk
Recommend stocks with reasonable valuations.,medium_risk
I have 75000. Redistribute this into the top 5 healthcare stocks best for 6 months growth.,low_risk
Create a portfolio of 50000 for passive income.,unspecified
Build a balanced portfolio with 50000 using large technology stocks.,medium_risk
Create a secure portfolio in healthcare using 50000 rupees.,low_risk
Create a portfolio of 10000 for passive income.,unspecified
Allocate 100000 into renewable energy stocks for a a year investor.Recommend stocks in the renewable energy sector.,unspecified
Allocate 250000 into technology stocks for a 1 year investor.Recommend stocks in the technology sector.,unspecified
Allocate 500000 into ai stocks for a 10 years investment.,unspecified
Suggest safe stocks from the healthcare sector for 6 months growth.,low_risk
Allocate 500000 into energy stocks for a 3 years investor.Recommend stocks in the energy sector.,unspecified
What are some promising telecom stocks?,unspecified
Recommend companies with steady expansion for 1 year investment.,medium_risk
I can tolerate significant volatility. Make me a portfolio of 75000 from the technology sector.,high_risk
Build an investment portfolio of telecom for 3 years growth,unspecified
Analyze the performance of financial services.,unspecified
Analyze large_cap companies in the energy industry.,unspecified
Analyze the investment potential of energy.,unspecified
Suggest risky small_cap stocks for growth.,high_risk
Build an investment portfolio of financial services for 3 years growth,unspecified
What are the best large banking stocks?,unspecified
Find investment opportunities in financial services.,unspecified
Analyze the performance of real estate.,unspecified
Suggest aggressive investments with 10000.,high_risk
Allocate 1000000 into renewable energy stocks for a 5 years investment.,unspecified
Suggest risky opportunities in energy.,high_risk
Find small opportunities in renewable energy with explosive earnings potential.,high_risk
Build an investment portfolio of technology for 3 years growth,unspecified
Recommend trusted large companies.,low_risk
Allocate 10000 to real estate stocks.,unspecified
Find attractive stocks for 1 year.,unspecified
Build a portfolio of 100000 for 1 year appreciation from the healthcare sector.,medium_risk
I do not mind major drawdowns. Make me a portfolio using 25000 from the renewable energy sector.,high_risk
Suggest diversified holdings of 100000 across consumer goods.,medium_risk
Allocate 25000 into financial services stocks for a 1 year investment.,unspecified
Build an aggressive strategy of 50000 for long term growth.,high_risk
Find large opportunities in ai with explosive earnings potential.,high_risk
Recommend quality companies for 3 years.,low_risk
Create a portfolio of 25000 for retirement.,unspecified
Suggest investment ideas for ₹1000000.,unspecified
Recommend healthcare companies for 1 year investing.,unspecified
Create a diversified healthcare stock portfolio using 100000 for a month investment.,medium_risk
Create a diversified portfolio of 1000000 for wealth creation.,medium_risk
Suggest telecom companies with moderate risk profiles.,medium_risk
Suggest investment ideas for ₹100000.,unspecified
Analyze the performance of consumer goods.,unspecified
Suggest diversified holdings of 1000000 across telecom.,medium_risk
Recommend technology opportunities with moderate volatility.,medium_risk
Find large telecom stocks suitable for an average investor.,medium_risk
Find multibagger energy opportunities for 1 year growth.,high_risk
Recommend investments for retirement.,unspecified
Suggest aggressive investments with 50000.,high_risk
Recommend quality companies for 10 years.,low_risk
Find opportunities in technology.,unspecified
Recommend industry leaders in healthcare.,unspecified
Recommend momentum-driven small stocks.,high_risk
Find balanced opportunities in industrial.,medium_risk
Find low-risk opportunities in renewable energy.,low_risk
"Find the next generation of market leaders.Allocate 1000000 into telecom stocks for a risky, 1 year investment.",high_risk
Build a portfolio with 50000.,unspecified
Build a speculative portfolio using 75000 for a 5 years investor.,high_risk
I have 100000. Redistribute this into the top 5 technology stocks best for 10 years growth.,low_risk
Analyze the performance of ai.,unspecified
Recommend industry leaders in industrial.,unspecified
Create a portfolio of 500000 for passive income.,unspecified
Recommend a moderate-growth strategy from the financial services sector using 50000 .,medium_risk
Build a diversified strategy with medium_cap stocks using 250000.,medium_risk
What are some promising real estate stocks?,unspecified
Recommend consumer goods opportunities with moderate volatility.,medium_risk
Build a portfolio using 1000000 for a month growth.,unspecified
Suggest financially strong companies in the consumer goods sector for 6 months growth.,low_risk
"Find high-risk, high-reward industrial opportunities for a year growth.",high_risk
Create a secure long-term portfolio.,low_risk
Create a low-risk portfolio using large_cap stocks.,low_risk
"Allocate 50000 into ai stocks for a safe, 6 months investment.",low_risk
Analyze medium_cap companies in the healthcare industry.,unspecified
Find companies with consistent earnings.,low_risk
Recommend renewable energy companies for 1 year investing.,unspecified
Make me a low_risk portfolio of 75000 from companies in ai.,low_risk
Recommend industry leaders in consumer goods.,unspecified
Analyze medium_cap companies in the industrial industry.,unspecified
Allocate 500000 to industrial stocks.,unspecified
Build a portfolio focused on industrial.,unspecified
Allocate 100000 into energy stocks for a a year investment.,unspecified
I can tolerate significant volatility. Make me a portfolio of 1000000 from the energy sector.,high_risk
Find multibagger energy opportunities for a year growth.,high_risk
Create a portfolio of 50000 for financial independence.,unspecified
Find large companies with moderate fundamentals.,medium_risk
Suggest large financial services investments with manageable risk.,medium_risk
Suggest investment ideas for ₹500000.,unspecified
Find small trustworthy businesses in telecom.,low_risk
Create a low-risk portfolio using large stocks.,low_risk
Suggest reliable medium_cap companies.,low_risk
Build a portfolio with controlled risk using 25000.,medium_risk
What are the best large telecom stocks?,unspecified
Find small_cap companies with moderate fundamentals.,medium_risk
Suggest speculative opportunities in financial services.,high_risk
Suggest some banking investment opportunities.,unspecified
Find opportunities in industrial.,unspecified
What are the best large financial services stocks?,unspecified
Allocate 25000 to banking stocks.,unspecified
I have 1000000. Redistribute this into the top 5 banking stocks best for 3 years growth.,low_risk
Allocate 500000 into renewable energy stocks for a a year investment.,unspecified
Build a portfolio using 500000 for 6 months growth.,unspecified
Suggest safe stocks from the consumer goods sector for 10 years growth.,low_risk
Analyze the performance of healthcare.,unspecified
Create a diversified banking stock portfolio using 10000 for 5 years investment.,medium_risk
Allocate 1000000 into energy stocks for a a year investment.,unspecified
Analyze large_cap companies in the industrial industry.,unspecified
Create speculative technology investment plan using 250000.,high_risk
Build an investment portfolio of ai for a month growth,unspecified
Recommend safe stocks for a experienced investor.,low_risk
Recommend sustainable return opportunities.,medium_risk
Analyze renewable energy stocks.,unspecified
Build a portfolio of 100000 for a year appreciation from the renewable energy sector.,medium_risk
Find telecom opportunities with balanced risk and reward.,medium_risk
Find high-risk high-reward medium_cap businesses in energy.,high_risk
I want a defensive portfolio for financial independence.,low_risk
Allocate 50000 to technology stocks.,unspecified
Find balanced opportunities in telecom.,medium_risk
Suggest low-risk exposure to telecom.,low_risk
Build a balanced ai plan for long term growth using 1000000.,medium_risk
Recommend investments for passive income.,unspecified
Allocate 250000 into renewable energy stocks for a 1 year investment.,unspecified
Suggest investment ideas for ₹75000.,unspecified
Suggest investments suitable for a working professional.,medium_risk
Build an investment portfolio of banking for 3 years growth,unspecified
"Allocate 50000 into telecom stocks for a safe, a year investment.",low_risk
Recommend investments for future expenses.,unspecified
Build an investment portfolio of healthcare for 6 months growth,unspecified
Find opportunities in banking.,unspecified
Allocate 100000 into healthcare stocks for a 1 year investor.Recommend stocks in the healthcare sector.,unspecified
Create a diversified energy stock portfolio using 10000 for a month investment.,medium_risk
Allocate 50000 to energy stocks.,unspecified
Recommend stocks for a young investor.,unspecified
Analyze the performance of telecom.,unspecified
Build a safe portfolio for 6 months.,low_risk
Analyze telecom stocks.,unspecified
Allocate 50000 into healthcare stocks for a 3 years investment.,unspecified
Recommend energy companies for 10 years investing.,unspecified
Suggest risky medium_cap stocks for growth.,high_risk
Build a portfolio using 10000 for 3 years growth.,unspecified
Build an investment portfolio of energy for a month growth,unspecified
Analyze large companies in the banking industry.,unspecified
Recommend financial services companies for 6 months investing.,unspecified
Build a portfolio using 1000000 for 1 year growth.,unspecified
Find conservative opportunities in healthcare.,low_risk
"Find the next generation of market leaders.Allocate 50000 into healthcare stocks for a risky, 6 months investment.",high_risk
Allocate 500000 into energy stocks for a 5 years investment.,unspecified
Suggest medium_cap companies for a year,unspecified
Analyze industrial stocks.,unspecified
Find large trustworthy businesses in consumer goods.,low_risk
Find balanced opportunities in healthcare.,medium_risk
Analyze small companies in the renewable energy industry.,unspecified
Build an investment portfolio of consumer goods for 10 years growth,unspecified
Find dependable companies for passive income.,low_risk
Allocate 75000 into technology stocks for a 10 years investment.,unspecified
Recommend diversified investments in healthcare.,medium_risk
Build an investment portfolio of energy for 3 years growth,unspecified
Recommend diversified companies for 5 years.,medium_risk
I want a defensive portfolio for capital preservation.,low_risk
Build a portfolio of 250000 for 6 months appreciation from the technology sector.,medium_risk
Suggest large renewable energy investments with manageable risk.,medium_risk
Recommend trusted medium_cap companies.,low_risk
Suggest aggressive stock picks for capital preservation.,high_risk
Find attractive stocks for 3 years.,unspecified
Build a portfolio using 1000000 for 5 years growth.,unspecified
Suggest medium_cap companies for 6 months,unspecified
Recommend ai companies for a year investing.,unspecified
Suggest large_cap companies for 1 year,unspecified
Find attractive stocks for 10 years.,unspecified
Find small trustworthy businesses in real estate.,low_risk
Build a portfolio of 75000 from the ai sector with minimal volatility.,low_risk
Recommend diversified investments in ai.,medium_risk
What stocks should I buy for a 6 months investment?,unspecified
What are the best small_cap healthcare stocks?,unspecified
Recommend stocks to protect my savings with quality businesses from the real estate.,low_risk
Allocate 1000000 to consumer goods stocks.,unspecified
Build a portfolio using 10000 for a year growth.,unspecified
Allocate 1000000 to banking stocks.,unspecified
Suggest high-volatility large_cap ai stocks with massive growth potential within 6 months.,high_risk
Recommend telecom companies for 1 year investing.,unspecified
Focus on reliable returns.,low_risk
Build a portfolio using 75000 for 6 months growth.,unspecified
Suggest stable investments in financial services.,low_risk
Recommend stocks to protect my savings with quality businesses from the energy.,low_risk
Allocate 10000 into ai stocks for a 10 years investment.,unspecified
Allocate 100000 into telecom stocks for a a year investment.,unspecified
Suggest some healthcare investment opportunities.,unspecified
I want a defensive portfolio for retirement.,low_risk
Suggest speculative opportunities in healthcare.,high_risk
Suggest some energy investment opportunities.,unspecified
Allocate 100000 for balanced growth.,medium_risk
Suggest aggressive stock picks for financial independence.,high_risk
Build a portfolio targeting exceptional returns using 1000000.,high_risk
Build a portfolio of 250000 for a year appreciation from the banking sector.,medium_risk
Create a retirement portfolio by allocating 10000 into energy stocks.,low_risk
Build a portfolio targeting exceptional returns using 50000.,high_risk
"Allocate 100000 into financial services stocks for a safe, 6 months investment.",low_risk
Build a conservative investment strategy for maximum growth in a month using 250000.,low_risk
Analyze the investment potential of renewable energy.,unspecified
Recommend mature businesses for 10 years investing.,low_risk
Build an investment portfolio of real estate for 3 years growth,unspecified
Analyze large_cap companies in the consumer goods industry.,unspecified
Recommend quality large_cap companies for wealth creation.,medium_risk
Recommend trusted small_cap companies.,low_risk
Recommend mature businesses for a year investing.,low_risk
Suggest risky consumer goods stocks for a month growth.,high_risk
Recommend established firms for capital preservation.,low_risk
Recommend diversified investments in consumer goods.,medium_risk
Analyze the investment potential of consumer goods.,unspecified
Analyze the investment potential of technology.,unspecified
Analyze the performance of renewable energy.,unspecified
Find large trustworthy businesses in healthcare.,low_risk
Suggest some ai investment opportunities.,unspecified
Recommend momentum-driven small_cap stocks.,high_risk
Build a portfolio focused on telecom.,unspecified
Recommend a moderate-growth strategy from the real estate sector using 250000 .,medium_risk
"Allocate 75000 into industrial stocks for a safe, 1 year investment.",low_risk
Build a safe portfolio for 10 years.,low_risk
Suggest some financial services investment opportunities.,unspecified
Find balanced opportunities in real estate.,medium_risk
Suggest small_cap companies for a year,unspecified
What are some promising industrial stocks?,unspecified
Analyze the investment potential of real estate.,unspecified
Build a portfolio with 1000000.,unspecified
Allocate 100000 to telecom stocks.,unspecified
Recommend disruptive companies.,high_risk
Find opportunities with moderate upside.,medium_risk
Allocate 75000 conservatively.,low_risk
Find energy opportunities with balanced risk and reward.,medium_risk
Analyze small companies in the healthcare industry.,unspecified
Find opportunities in telecom.,unspecified
Recommend real estate companies for 6 months investing.,unspecified
Build a high-risk portfolio for financial independence using 25000.,high_risk
Build a balanced portfolio with 1000000 using small industrial stocks.,medium_risk
Allocate 50000 into banking stocks for a 3 years investment.,unspecified
Analyze large companies in the technology industry.,unspecified
Allocate 10000 into banking stocks for a 10 years investment.,unspecified
Create a portfolio of 75000 for future expenses.,unspecified
Suggest safe stocks from the real estate sector for 6 months growth.,low_risk
Build an investment portfolio of consumer goods for 6 months growth,unspecified
Analyze the investment potential of industrial.,unspecified
Allocate 75000 into renewable energy stocks for a 1 year investor.Recommend stocks in the renewable energy sector.,unspecified
Build an aggressive strategy of 10000 for children's education.,high_risk
What stocks should I buy for a 10 years investment?,unspecified
Build a portfolio using 50000 for a month growth.,unspecified
Suggest some renewable energy investment opportunities.,unspecified
Build a balanced portfolio with 50000 using small_cap healthcare stocks.,medium_risk
Analyze the investment potential of banking.,unspecified
Build a portfolio using 250000 for 10 years growth.,unspecified
Create speculative real estate investment plan using 500000.,high_risk
Create speculative financial services investment plan using 25000.,high_risk
I want maximum returns from financial services for a risky investor.,high_risk
Build a balanced ai plan for long term growth using 75000.,medium_risk
Build a portfolio using 100000 for a year growth.,unspecified
Recommend high-beta stocks.,high_risk
Make me a low_risk portfolio of 25000 from companies in technology.,low_risk
Build an investment portfolio of consumer goods for a month growth,unspecified
Allocate 75000 to banking stocks.,unspecified
Build a moderate-risk strategy in industrial using 10000.,medium_risk
Suggest financially strong companies in the healthcare sector for a year growth.,low_risk
Analyze large companies in the healthcare industry.,unspecified
Create a portfolio of 250000 for long term growth.,unspecified
Allocate 50000 to consumer goods stocks.,unspecified
Recommend diversified companies for 10 years.,medium_risk
Allocate 75000 to safe real estate stocks.,low_risk
Recommend large_cap companies investments for 3 years.,low_risk
Create a diversified ai stock portfolio using 100000 for 6 months investment.,medium_risk
Find high-risk high-reward large_cap businesses in consumer goods.,high_risk
Suggest risky opportunities in renewable energy.,high_risk
Build a diversified strategy with medium_cap stocks using 500000.,medium_risk
Analyze the investment potential of telecom.,unspecified
Recommend aggressive investments in consumer goods.,high_risk
Suggest some consumer goods investment opportunities.,unspecified
Build a portfolio using 50000 for a year growth.,unspecified
Recommend quality companies for 6 months.,low_risk
Allocate 250000 to technology stocks.,unspecified
Create a portfolio of 100000 for children's education.,unspecified
What are the best large_cap financial services stocks?,unspecified
Suggest risky small stocks for growth.,high_risk
Recommend diversified companies for 6 months.,medium_risk
Build an investment portfolio of banking for 10 years growth,unspecified
Find investment opportunities in energy.,unspecified
Recommend companies with steady expansion for a year investment.,medium_risk
Find stocks with multibagger potential.,high_risk
"Allocate 500000 into renewable energy stocks for a risky, 5 years investor.",high_risk
Build a stable portfolio with small stocks using 500000.,low_risk
Allocate 50000 into real estate stocks for a 1 year investor.Recommend stocks in the real estate sector.,unspecified
Allocate 100000 conservatively.,low_risk
Recommend conservative investments in banking for a a year investment.,low_risk
Suggest rapidly expanding businesses.,high_risk
Recommend energy companies for 5 years investing.,unspecified
"Find the next generation of market leaders.Allocate 100000 into renewable energy stocks for a risky, 5 years investment.",high_risk
Create a portfolio of 25000 for future expenses.,unspecified
Find low-risk opportunities in industrial.,low_risk
Allocate 100000 to safe telecom stocks.,low_risk
Suggest risky ai stocks for a year growth.,high_risk
Allocate 25000 conservatively.,low_risk
What are the best large real estate stocks?,unspecified
Recommend stocks to protect my savings with quality businesses from the healthcare.,low_risk
Analyze real estate stocks.,unspecified
Allocate 25000 into consumer goods stocks for a 5 years investor.Recommend stocks in the consumer goods sector.,unspecified
Create a diversified portfolio of 50000 for wealth creation.,medium_risk
Analyze ai stocks.,unspecified
Create a portfolio of 500000 for wealth creation.,unspecified
Recommend large_cap companies investments for 10 years.,low_risk
"Allocate 250000 into telecom stocks for a safe, a year investor.",low_risk
Recommend aggressive growth stocks for 10 years.,high_risk
"Build a portfolio of 500000 from the industrial sector for a risky, 10 years investment.",high_risk
Find large ai stocks suitable for an average investor.,medium_risk
I want a defensive portfolio for long term growth.,low_risk
Allocate 75000 into industrial stocks for a 1 year investment.,unspecified
"Find high-risk, high-reward healthcare opportunities for 3 years growth.",high_risk
Build a portfolio targeting exceptional returns using 25000.,high_risk
Build a portfolio focused on banking.,unspecified
Allocate 1000000 to financial services stocks.,unspecified
Suggest quality large companies from the telecom sector.,medium_risk
Suggest medium_cap companies for 1 year,unspecified
What are the best small_cap telecom stocks?,unspecified
Analyze large companies in the industrial industry.,unspecified
Build a portfolio focused on financial services.,unspecified
What are the best small energy stocks?,unspecified
Build a medium-risk portfolio for a month.,medium_risk
Suggest quality large_cap companies from the real estate sector.,medium_risk
"Allocate 250000 into consumer goods stocks for a safe, a year investment.",low_risk
Build a speculative portfolio using 1000000 for a 10 years investor.,high_risk
Build a diversified strategy with large stocks using 10000.,medium_risk
What are the best large_cap healthcare stocks?,unspecified
Suggest small companies for a year,unspecified
Create a balanced wealth creation strategy using 50000.,medium_risk
Find low-risk opportunities in telecom.,low_risk
Find technology opportunities with balanced risk and reward.,medium_risk
Build a safe portfolio for 3 years.,low_risk
Create a portfolio of 100000 for long term growth.,unspecified
Recommend quality companies for a month.,low_risk
Allocate 75000 to consumer goods stocks.,unspecified
Allocate 1000000 into banking stocks for a 3 years investor.Recommend stocks in the banking sector.,unspecified
Find low-volatility companies in energy.,low_risk
Build a diversified strategy with small_cap stocks using 500000.,medium_risk
Suggest speculative opportunities in industrial.,high_risk
Create a retirement portfolio by allocating 250000 into industrial stocks.,low_risk
Create speculative technology investment plan using 10000.,high_risk
Allocate 50000 to renewable energy stocks.,unspecified
Recommend aggressive growth stocks for 5 years.,high_risk
Recommend healthcare companies for 3 years investing.,unspecified
Find balanced opportunities in financial services.,medium_risk
Recommend established firms for wealth creation.,low_risk
Allocate 10000 into banking stocks for a 1 year investment.,unspecified
Focus on maximum upside over 1 year.,high_risk
Recommend mature businesses for 3 years investing.,low_risk
Build a portfolio using 25000 for 3 years growth.,unspecified
Suggest quality small companies from the banking sector.,medium_risk
Allocate 75000 into banking stocks for a 10 years investor.Recommend stocks in the banking sector.,unspecified
Recommend moderate-risk telecom stocks.,medium_risk
Create a portfolio of 500000 for long term growth.,unspecified
Recommend diversified investments in renewable energy.,medium_risk
Recommend reliable stocks for retirement.,low_risk
Find conservative opportunities in financial services.,low_risk
Allocate 100000 into banking stocks for a 6 months investor.Recommend stocks in the banking sector.,unspecified
What are some promising banking stocks?,unspecified
Build a portfolio using 1000000 for 3 years growth.,unspecified
Allocate 50000 into industrial stocks for a 1 year investor.Recommend stocks in the industrial sector.,unspecified
Suggest stable investments in banking.,low_risk
What are the best medium_cap telecom stocks?,unspecified
Build a balanced portfolio with 1000000 using large energy stocks.,medium_risk
